nregistro,nombre,principios_activos,pdf_url
07387024,ADVAGRAF 5 MG CAPSULAS DURAS DE LIBERACION PROLONGADA,tacrolimus,https://cima.aemps.es/cima/pdfs/ft/07387024/FT_07387024.pdf
60137,ADVENTAN 1 mg/g CREMA,metilprednisolona,https://cima.aemps.es/cima/pdfs/ft/60137/FT_60137.pdf
62662,ADVENTAN 1 mg/g EMULSION CUTANEA,metilprednisolona,https://cima.aemps.es/cima/pdfs/ft/62662/FT_62662.pdf
60139,ADVENTAN 1 mg/g UNGÜENTO,metilprednisolona,https://cima.aemps.es/cima/pdfs/ft/60139/FT_60139.pdf
107399004,"AERINAZE 2,5 MG/120 MG COMPRIMIDOS DE LIBERACION MODIFICADA",desloratadina + pseudoefedrina,https://cima.aemps.es/cima/pdfs/ft/107399004/FT_107399004.pdf
00160065,"AERIUS 0,5 MG/ML SOLUCION ORAL",desloratadina,https://cima.aemps.es/cima/pdfs/ft/00160065/FT_00160065.pdf
00160055,AERIUS 5 MG COMPRIMIDOS BUCODISPERSABLES,desloratadina,https://cima.aemps.es/cima/pdfs/ft/00160055/FT_00160055.pdf
00160009,AERIUS 5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,desloratadina,https://cima.aemps.es/cima/pdfs/ft/00160009/FT_00160009.pdf
09538004,AFINITOR 10 MG COMPRIMIDOS,everolimus,https://cima.aemps.es/cima/pdfs/ft/09538004/FT_09538004.pdf
09538001,AFINITOR 5 MG COMPRIMIDOS,everolimus,https://cima.aemps.es/cima/pdfs/ft/09538001/FT_09538001.pdf
1161158003,AFSTYLA 1.000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,lonoctocog alfa,https://cima.aemps.es/cima/pdfs/ft/1161158003/FT_1161158003.pdf
1161158005,AFSTYLA 2.000 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,lonoctocog alfa,https://cima.aemps.es/cima/pdfs/ft/1161158005/FT_1161158005.pdf
1161158001,AFSTYLA 250 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,lonoctocog alfa,https://cima.aemps.es/cima/pdfs/ft/1161158001/FT_1161158001.pdf
1161158002,AFSTYLA 500 UI POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE,lonoctocog alfa,https://cima.aemps.es/cima/pdfs/ft/1161158002/FT_1161158002.pdf
80254,AFULTRANT 250 MG SOLUCION INYECTABLE EN JERINGA PRECARGADA EFG,fulvestrant,https://cima.aemps.es/cima/pdfs/ft/80254/FT_80254.pdf
83546,AGOMELATINA STADA 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,agomelatina,https://cima.aemps.es/cima/pdfs/ft/83546/FT_83546.pdf
